正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.78,0,7
2,0,2,1.12,0,9
3,0,3,0.86,0,8
4,0,4,0.86,0,6
5,0,5,1.20,0,1
6,0,6,1.16,0,11
7,0,7,1.04,0,2
8,0,8,1.04,0,0
9,0,9,0.84,0,5
10,0,10,0.62,0,4
11,1,12,1.64,1,3
12,1,13,0.84,0,10
