正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.22,0,3
2,0,2,1.58,0,8
3,0,3,1.98,0,0
4,0,4,1.60,0,10
5,0,5,1.68,0,11
6,0,6,1.40,0,4
7,0,7,1.78,0,2
8,0,8,1.26,0,7
9,0,9,1.34,0,9
10,0,10,1.62,0,1
11,0,11,1.04,0,6
12,0,12,1.02,0,5
