正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.90,0,7
2,0,2,1.06,0,11
3,0,3,1.22,0,0
4,0,4,1.18,0,10
5,0,5,1.08,0,3
6,0,6,0.86,0,6
7,0,7,1.16,0,8
8,0,8,1.02,0,4
9,0,9,1.34,0,2
10,0,10,0.84,0,5
11,0,11,1.14,0,9
12,0,12,1.18,0,1
