正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,1,2,1.90,1,3
2,1,3,0.74,0,6
3,1,4,1.12,0,11
4,1,5,1.66,0,1
5,1,6,1.26,0,4
6,1,7,0.92,0,7
7,2,9,1.98,1,2
8,2,10,1.38,0,0
9,3,12,2.38,1,8
10,3,13,1.14,0,9
11,3,14,1.28,0,10
12,3,15,0.82,0,5
