正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.86,0,7
2,0,2,1.24,0,2
3,0,3,1.44,0,6
4,0,4,1.12,0,4
5,0,5,1.16,0,3
6,0,6,1.24,0,11
7,0,7,1.04,0,5
8,0,8,1.22,0,0
9,1,10,2.84,1,10
10,1,11,1.40,0,1
11,1,12,1.18,0,9
12,1,13,1.08,0,8
