正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.76,0,4
2,0,2,0.68,0,7
3,0,3,0.72,0,8
4,0,4,0.74,0,5
5,0,5,0.54,0,6
6,0,6,1.02,0,1
7,0,7,0.90,0,2
8,1,9,1.86,1,10
9,1,10,0.88,0,9
10,1,11,0.84,0,3
11,1,12,0.96,0,11
12,1,13,1.10,0,0
