正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.10,0,1
2,0,2,0.72,0,7
3,0,3,1.34,0,10
4,0,4,0.84,0,9
5,0,5,0.88,0,8
6,0,6,0.72,0,5
7,0,7,0.66,0,3
8,0,8,0.82,0,0
9,0,9,0.66,0,4
10,0,10,0.62,0,6
11,0,11,0.82,0,11
12,0,12,0.88,0,2
