正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.10,0,3
2,0,2,0.96,0,7
3,0,3,0.94,0,5
4,0,4,1.22,0,2
5,0,5,1.12,0,4
6,0,6,1.04,0,9
7,0,7,1.36,0,0
8,0,8,1.52,0,11
9,0,9,1.14,0,8
10,0,10,1.10,0,10
11,0,11,0.78,0,6
12,0,12,1.36,0,1
