正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.92,0,11
2,0,2,0.56,0,7
3,0,3,0.74,0,1
4,0,4,0.76,0,8
5,0,5,0.90,0,10
6,0,6,0.88,0,0
7,0,7,0.68,0,6
8,0,8,0.56,0,5
9,0,9,1.14,0,2
10,0,10,1.22,0,9
11,0,11,0.90,0,3
12,0,12,0.68,0,4
