正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.84,0,3
2,0,2,0.78,0,2
3,0,3,0.94,0,0
4,0,4,0.88,0,6
5,0,5,0.70,0,5
6,0,6,0.86,0,7
7,0,7,0.94,0,1
8,0,8,0.72,0,4
