正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.30,1
2,0,2,1.14,6
3,0,3,1.26,7
4,0,4,1.50,8
5,0,5,1.00,3
6,0,6,1.46,0
7,0,7,0.86,5
8,0,8,1.10,2
