正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.84,0,6
2,1,3,1.92,1,1
3,1,4,0.76,0,2
4,1,5,0.92,0,5
5,1,6,0.82,0,7
6,1,7,0.70,0,3
7,1,8,0.84,0,4
8,1,9,0.82,0,0
