正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.90,0,2
2,0,2,0.94,0,5
3,0,3,0.94,0,1
4,0,4,1.06,0,6
5,0,5,0.80,0,4
6,0,6,1.02,0,7
7,0,7,1.04,0,0
8,0,8,0.90,0,3
