正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.06,0,2
2,0,2,1.28,0,7
3,0,3,0.96,0,5
4,0,4,0.98,0,6
5,0,5,1.16,0,0
6,0,6,1.02,0,1
7,0,7,0.84,0,3
8,0,8,0.94,0,4
