正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.10,6
2,0,2,1.72,0
3,1,4,1.90,3
4,1,5,1.20,2
5,1,6,0.72,5
6,1,7,1.46,8
7,1,8,1.74,1
8,1,9,1.06,7
