正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.24,0,5
2,0,2,1.24,0,1
3,0,3,1.48,0,4
4,0,4,1.26,0,0
5,0,5,0.98,0,2
6,0,6,0.80,0,3
7,0,7,1.06,0,6
8,0,8,1.20,0,7
