正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,0.82,6
2,1,3,1.74,5
3,1,4,1.80,2
4,2,6,2.42,0
5,2,7,1.22,8
6,2,8,1.38,3
7,2,9,1.20,1
8,2,10,1.44,7
