正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.92,0,7
2,0,2,0.78,0,3
3,0,3,0.84,0,5
4,0,4,0.94,0,4
5,0,5,1.00,0,2
6,0,6,0.98,0,1
7,0,7,1.26,0,0
8,0,8,0.86,0,6
