正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.94,0,3
2,0,2,1.18,0,6
3,0,3,1.12,0,1
4,0,4,1.10,0,7
5,0,5,1.02,0,2
6,0,6,0.76,0,4
7,0,7,1.30,0,0
8,0,8,1.02,0,5
