正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.50,2
2,0,2,1.44,7
3,0,3,0.92,3
4,0,4,1.42,8
5,0,5,1.80,1
6,0,6,1.08,6
7,0,7,1.16,5
8,0,8,1.08,0
