正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.20,0,5
2,0,2,1.12,0,3
3,0,3,0.94,0,2
4,0,4,0.98,0,1
5,1,6,1.88,1,7
6,1,7,0.88,0,4
7,1,8,1.00,0,6
8,1,9,1.00,0,0
