正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,2.34,2
2,0,2,1.84,1
3,0,3,0.80,5
4,0,4,1.10,7
5,0,5,1.06,3
6,1,7,2.20,0
7,1,8,1.56,8
8,1,9,1.10,6
