正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.16,1
2,0,2,1.12,6
3,0,3,0.70,8
4,0,4,1.00,3
5,0,5,0.76,2
6,0,6,0.92,5
7,1,8,1.64,7
8,1,9,0.86,0
