正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.94,0,6
2,0,2,1.02,0,5
3,0,3,0.86,0,7
4,0,4,0.88,0,3
5,0,5,0.90,0,2
6,0,6,1.00,0,0
7,0,7,0.94,0,1
8,0,8,0.72,0,4
