正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.14,0,2
2,0,2,1.38,0,1
3,0,3,1.24,0,4
4,0,4,0.92,0,3
5,0,5,1.34,0,9
6,0,6,0.96,0,5
7,0,7,1.00,0,6
8,0,8,1.20,0,7
9,0,9,1.08,0,8
10,0,10,1.34,0,0
