正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.94,0,3
2,1,3,2.52,1,8
3,1,4,1.60,0,9
4,1,5,1.12,0,2
5,1,6,1.30,0,1
6,1,7,0.78,0,6
7,1,8,0.84,0,5
8,1,9,0.84,0,4
9,1,10,1.02,0,7
10,1,11,1.66,0,0
