正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.90,0,3
2,0,2,0.92,0,7
3,0,3,0.68,0,5
4,0,4,0.76,0,4
5,0,5,0.86,0,6
6,0,6,1.14,0,0
7,0,7,0.92,0,2
8,0,8,1.04,0,1
9,0,9,0.98,0,8
10,0,10,1.08,0,9
