正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.84,0,6
2,0,2,1.28,0,1
3,0,3,0.78,0,5
4,0,4,1.04,0,8
5,0,5,0.78,0,3
6,0,6,1.20,0,9
7,0,7,1.04,0,7
8,0,8,1.34,0,0
9,0,9,1.10,0,4
10,0,10,1.04,0,2
