正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.78,0,1
2,0,2,1.38,0,7
3,0,3,1.04,0,6
4,0,4,1.10,0,3
5,0,5,0.88,0,0
6,0,6,0.94,0,15
7,0,7,1.42,0,5
8,0,8,1.10,0,10
9,0,9,1.02,0,11
10,0,10,1.18,0,14
11,0,11,0.94,0,9
12,0,12,0.84,0,8
13,1,14,2.28,1,2
14,1,15,1.02,0,4
15,1,16,1.56,0,12
16,1,17,1.10,0,13
