正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.96,0,13
2,1,3,2.88,1,4
3,1,4,1.18,0,1
4,1,5,0.92,0,15
5,1,6,0.88,0,12
6,1,7,1.30,0,7
7,1,8,1.04,0,14
8,1,9,1.02,0,5
9,1,10,1.12,0,10
10,1,11,1.06,0,6
11,1,12,1.20,0,3
12,1,13,0.94,0,0
13,1,14,0.72,0,11
14,1,15,0.98,0,9
15,1,16,0.82,0,8
16,1,17,0.90,0,2
