正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.94,0,4
2,0,2,0.92,0,1
3,0,3,0.76,0,3
4,0,4,0.56,0,2
5,0,5,0.76,0,0
