正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.84,0,1
2,0,2,0.58,0,2
3,0,3,0.88,0,4
4,0,4,0.70,0,3
5,0,5,0.74,0,0
