正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.68,0,1
2,0,2,0.94,0,0
3,0,3,0.82,0,2
4,0,4,0.62,0,3
5,0,5,0.62,0,4
