正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.36,0,9
2,0,2,1.66,0,3
3,0,3,1.92,0,12
4,0,4,1.24,0,16
5,0,5,1.04,0,23
6,0,6,1.62,0,22
7,0,7,1.08,0,13
8,0,8,1.06,0,0
9,0,9,1.14,0,5
10,0,10,1.16,0,15
11,0,11,1.08,0,14
12,0,12,1.64,0,8
13,0,13,0.84,0,11
14,0,14,1.66,0,21
15,1,16,3.26,1,2
16,1,17,1.32,0,1
17,1,18,1.22,0,19
18,1,19,1.52,0,4
19,1,20,1.32,0,18
20,1,21,1.26,0,10
21,1,22,1.26,0,17
22,1,23,1.12,0,6
23,1,24,1.12,0,7
24,1,25,1.68,0,20
