正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.92,0,15
2,1,3,2.70,1,3
3,1,4,1.12,0,11
4,1,5,1.16,0,23
5,1,6,1.02,0,0
6,1,7,1.12,0,20
7,1,8,1.48,0,2
8,1,9,1.50,0,21
9,1,10,1.40,0,12
10,1,11,1.06,0,8
11,1,12,0.94,0,16
12,1,13,0.92,0,17
13,1,14,1.24,0,9
14,1,15,1.00,0,4
15,1,16,1.34,0,22
16,1,17,1.16,0,6
17,1,18,1.24,0,7
18,1,19,1.58,0,18
19,1,20,0.92,0,10
20,1,21,1.24,0,14
21,1,22,1.30,0,1
22,1,23,1.08,0,13
23,1,24,1.16,0,19
24,1,25,1.10,0,5
