正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.50,0,23
2,0,2,1.90,0,2
3,0,3,1.12,0,17
4,0,4,1.12,0,12
5,1,6,3.04,1,6
6,1,7,1.24,0,5
7,1,8,1.86,0,22
8,1,9,1.78,0,1
9,1,10,1.32,0,10
10,1,11,1.30,0,18
11,1,12,1.78,0,21
12,1,13,1.08,0,19
13,1,14,1.28,0,15
14,1,15,1.10,0,20
15,1,16,0.94,0,13
16,1,17,1.46,0,9
17,1,18,1.16,0,0
18,1,19,0.94,0,14
19,1,20,1.14,0,7
20,1,21,1.18,0,16
21,1,22,1.64,0,4
22,1,23,1.02,0,11
23,2,25,2.02,1,3
24,2,26,0.94,0,8
