正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.56,0,15
2,0,2,1.34,0,10
3,0,3,1.16,0,16
4,0,4,1.42,0,3
5,0,5,1.06,0,11
6,1,7,3.34,1,6
7,1,8,1.24,0,4
8,1,9,1.46,0,17
9,3,12,2.58,2,19
10,3,13,1.88,0,13
11,3,14,1.36,0,23
12,3,15,1.40,0,7
13,3,16,1.32,0,5
14,3,17,1.58,0,20
15,3,18,1.22,0,2
16,4,20,2.76,1,21
17,4,21,1.44,0,12
18,4,22,1.62,0,1
19,5,24,2.56,1,0
20,5,25,1.16,0,14
21,5,26,1.48,0,22
22,5,27,1.24,0,8
23,5,28,0.82,0,9
24,5,29,1.42,0,18
