正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.22,7
2,0,2,1.10,6
3,3,6,5.22,8
4,3,7,0.84,3
5,3,8,1.96,0
6,3,9,0.88,5
7,3,10,1.02,1
8,3,11,1.04,2
