正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.38,0
2,0,2,1.54,8
3,0,3,1.12,7
4,0,4,1.12,3
5,0,5,1.16,2
6,0,6,1.06,6
7,0,7,1.04,5
8,1,9,2.72,1
