正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.20,0,14
2,0,2,1.26,0,10
3,0,3,1.34,0,3
4,1,5,2.60,1,0
5,1,6,1.48,0,1
6,1,7,1.00,0,6
7,1,8,1.44,0,4
8,1,9,1.12,0,7
9,1,10,1.26,0,2
10,1,11,1.26,0,9
11,2,13,2.56,1,13
12,2,14,1.60,0,12
13,2,15,0.92,0,8
14,2,16,1.48,0,5
15,2,17,1.30,0,11
