正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.80,0,9
2,0,2,0.76,0,8
3,0,3,1.16,0,12
4,0,4,1.16,0,2
5,0,5,1.02,0,11
6,0,6,1.14,0,3
7,0,7,0.88,0,6
8,0,8,1.00,0,5
9,0,9,1.00,0,4
10,0,10,1.10,0,10
11,0,11,1.44,0,1
12,1,13,2.48,1,13
13,1,14,1.20,0,14
14,1,15,1.18,0,0
15,1,16,0.88,0,7
