正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.04,0,5
2,0,2,1.84,0,14
3,0,3,1.40,0,2
4,0,4,1.12,0,6
5,0,5,1.24,0,10
6,0,6,1.18,0,11
7,0,7,0.96,0,9
8,0,8,1.44,0,3
9,0,9,0.78,0,7
10,0,10,1.36,0,1
11,0,11,1.04,0,4
12,0,12,1.40,0,13
13,0,13,1.08,0,12
14,1,15,3.00,1,0
15,1,16,0.88,0,8
