正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.10,3
2,1,3,3.08,8
3,1,4,1.08,6
4,1,5,0.96,7
5,1,6,1.44,2
6,1,7,1.08,5
7,1,8,1.64,0
8,1,9,1.14,1
