正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.62,0,1
2,0,2,0.98,0,6
3,0,3,1.24,0,12
4,0,4,1.26,0,0
5,0,5,1.26,0,3
6,0,6,1.14,0,11
7,0,7,1.32,0,2
8,0,8,0.98,0,5
9,0,9,1.34,0,14
10,0,10,1.02,0,8
11,0,11,1.12,0,13
12,0,12,1.40,0,4
13,0,13,1.46,0,9
14,0,14,1.08,0,7
15,0,15,1.34,0,10
