正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.36,8
2,0,2,0.76,6
3,0,3,0.98,0
4,0,4,0.60,5
5,0,5,0.72,1
6,0,6,0.72,3
7,0,7,0.78,2
8,0,8,1.08,7
