正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.06,0,10
2,1,3,2.44,1,11
3,1,4,0.96,0,8
4,1,5,1.54,0,1
5,1,6,0.92,0,5
6,1,7,1.40,0,13
7,1,8,1.16,0,2
8,1,9,1.10,0,12
9,1,10,1.32,0,0
10,1,11,1.16,0,4
11,1,12,1.02,0,9
12,1,13,1.30,0,3
13,1,14,1.70,0,14
14,1,15,0.82,0,6
15,1,16,0.82,0,7
