正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.44,7
2,0,2,0.94,6
3,0,3,0.80,3
4,0,4,1.72,1
5,0,5,1.48,2
6,0,6,0.92,5
7,0,7,1.66,0
8,0,8,1.48,8
