正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,1.04,2
2,0,2,0.92,3
3,0,3,1.34,0
4,0,4,1.06,8
5,0,5,1.06,6
6,0,6,1.48,1
7,0,7,0.82,5
8,0,8,1.62,7
