正解数,エラー回数,選択回数,選択時間,正解番号
1,0,1,0.92,5
2,0,2,0.94,6
3,0,3,1.74,2
4,0,4,0.94,3
5,0,5,1.24,0
6,0,6,1.24,1
7,0,7,1.18,8
8,0,8,1.02,7
