正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.00,0,9
2,0,2,1.26,0,14
3,0,3,1.40,0,6
4,0,4,1.02,0,8
5,0,5,1.02,0,5
6,0,6,1.04,0,1
7,0,7,1.02,0,3
8,0,8,1.14,0,11
9,0,9,0.80,0,10
10,0,10,1.00,0,4
11,0,11,1.10,0,12
12,0,12,1.46,0,13
13,0,13,1.26,0,2
14,0,14,1.18,0,0
15,0,15,0.90,0,7
