正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.20,0,1
2,0,2,1.14,0,12
3,0,3,0.66,0,6
4,0,4,0.96,0,5
5,0,5,0.94,0,14
6,0,6,1.02,0,0
7,0,7,1.24,0,2
8,0,8,0.96,0,4
9,0,9,0.96,0,8
10,0,10,1.24,0,10
11,0,11,0.96,0,3
12,0,12,1.10,0,9
13,0,13,0.66,0,7
14,0,14,0.98,0,11
15,0,15,0.92,0,13
