正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,1,2,2.42,1,19
2,1,3,1.40,0,14
3,1,4,0.92,0,15
4,1,5,0.96,0,6
5,1,6,1.36,0,1
6,1,7,1.02,0,12
7,1,8,1.10,0,16
8,1,9,1.10,0,0
9,1,10,1.00,0,5
10,1,11,1.14,0,4
11,1,12,1.20,0,9
12,1,13,1.34,0,3
13,1,14,1.06,0,2
14,1,15,1.36,0,13
15,1,16,0.84,0,10
16,1,17,0.86,0,8
17,1,18,1.42,0,17
18,1,19,1.14,0,18
19,1,20,1.20,0,7
20,1,21,1.12,0,11
