正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.26,0,19
2,0,2,1.24,0,3
3,0,3,0.96,0,12
4,0,4,1.10,0,17
5,0,5,0.92,0,9
6,0,6,1.28,0,4
7,0,7,1.24,0,6
8,0,8,1.40,0,5
9,0,9,1.36,0,2
10,0,10,1.02,0,13
11,0,11,1.78,0,18
12,0,12,1.64,0,1
13,0,13,1.24,0,16
14,0,14,1.00,0,11
15,0,15,0.86,0,10
16,0,16,1.06,0,15
17,0,17,0.86,0,8
18,0,18,1.30,0,7
19,0,19,1.38,0,0
20,0,20,1.18,0,14
