正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,0.84,0,9
2,0,2,0.98,0,6
3,0,3,1.44,0,0
4,0,4,0.76,0,11
5,0,5,1.08,0,18
6,0,6,0.88,0,4
7,0,7,0.94,0,5
8,0,8,1.20,0,14
9,0,9,0.96,0,19
10,0,10,1.00,0,17
11,0,11,1.30,0,1
12,0,12,1.16,0,2
13,0,13,0.86,0,12
14,0,14,0.72,0,10
15,0,15,0.76,0,8
16,0,16,0.98,0,3
17,0,17,0.80,0,13
18,0,18,0.92,0,15
19,1,20,1.60,1,16
20,1,21,0.98,0,7
