正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,1,2,2.70,1,16
2,1,3,1.34,0,4
3,1,4,1.14,0,13
4,1,5,1.48,0,15
5,3,8,3.52,2,18
6,3,9,1.30,0,0
7,3,10,1.28,0,6
8,3,11,1.38,0,3
9,3,12,1.18,0,11
10,3,13,1.70,0,2
11,3,14,0.98,0,12
12,3,15,1.22,0,10
13,3,16,1.32,0,14
14,3,17,0.98,0,7
15,3,18,0.84,0,9
16,3,19,1.68,0,5
17,5,22,4.10,2,1
18,5,23,1.66,0,8
19,5,24,1.64,0,17
20,5,25,1.74,0,19
