正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.60,0,15
2,0,2,0.94,0,8
3,1,4,1.92,1,17
4,1,5,1.20,0,18
5,2,7,2.34,1,5
6,2,8,0.96,0,0
7,2,9,0.78,0,14
8,2,10,1.00,0,12
9,2,11,1.10,0,6
10,2,12,0.80,0,10
11,2,13,0.78,0,13
12,3,15,1.38,1,19
13,3,16,0.96,0,3
14,3,17,1.14,0,1
15,4,19,2.26,1,4
16,4,20,0.88,0,9
17,5,22,2.30,1,2
18,6,24,1.32,1,11
19,6,25,1.16,0,16
20,6,26,0.96,0,7
