正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,1,2,1.66,1,0
2,1,3,0.94,0,1
3,1,4,0.82,0,3
4,1,5,0.90,0,5
5,1,6,0.70,0,2
6,1,7,0.66,0,4
