正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.14,0,0
2,0,2,1.22,0,5
3,0,3,0.88,0,1
4,0,4,0.90,0,2
5,0,5,0.86,0,4
6,0,6,0.88,0,3
