正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.70,0,5
2,0,2,1.30,0,4
3,0,3,1.00,0,2
4,0,4,0.96,0,3
5,0,5,1.68,0,0
6,0,6,1.06,0,1
