正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,1.26,0,0
2,0,2,0.96,0,4
3,0,3,1.08,0,3
4,0,4,0.88,0,2
5,0,5,1.16,0,1
6,0,6,1.16,0,5
