正解数,全エラー回数,選択回数,選択時間,エラー回数,正解番号
1,0,1,41.18,0,0
2,0,2,19.80,0,1
3,1,4,5.86,1,2
1,1,5,0.64,0,2
2,1,6,1.42,0,1
3,1,7,1.44,0,0
1,1,8,2.20,0,0
2,1,9,1.74,0,1
3,1,10,1.76,0,2
1,1,11,1.44,0,0
2,1,12,0.82,0,1
3,1,13,1.02,0,2
1,1,14,0.46,0,1
2,1,15,0.58,0,0
3,1,16,0.74,0,2
